scope_type,scope_id,chapter_name,note_number,note_text
chapter,Chapter 04,"Dairy Produce; Birds’ Eggs; Natural Honey; Edible Products of Animal Origin, Not Elsewhere Specified or Included",,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 does not apply to non-originating milk or cream of subheading 04.01.40 used in the production of milk or cream of subheading 04.01.50, to non-originating milk or cream of subheading 04.01.50 used in the production of milk or cream of subheading 04.01.40, or to non-originating fresh eggs of subheading 04.07.11 through 04.07.29 used in the production of other eggs of subheading 04.07.90."
item,05.01-05.11,"Products of Animal Origin, Not Elsewhere Specified or Included",,"Agricultural and horticultural goods grown in the territory of a Party shall be treated as originating in the territory of that Party even if grown from seed, bulbs, rootstock, cuttings, slips or other live parts of plants imported from a non-Party ."
chapter,Chapter 06,"Live Trees and Other Plants; Bulbs, Roots and the Like; Cut Flowers and Ornamental Foliage",,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 does not apply to non-originating fresh moss or lichen of subheading 06.04.20 used in the production of other moss or lichen of subheading 06.04"
chapter,Chapter 07,Edible Vegetables and Certain Roots and Tubers,,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 applies to non originating truffles of subheading 07.09.59 used in the production of mixtures of mushrooms and truffles of subheading 07.09.59 and non originating capers of subheading 07.11.90 used in the production of mixtures of vegetables of subheading 07.11.90."
chapter,Chapter 08,Edible Fruit and Nuts; Peel of Citrus Fruit or Melons,,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 does not apply to non-originating chestnuts, pistachios or macadamia nuts, in shell, of subheading 08.02.41, 08.02.51 or 08.02.61, respectively, that are used in the production of shelled chestnuts, pistachios or macadamia nuts of subheading 08.02.42, 08.02.52 or 08.02.62, respectively."
item,09.04.21-09.04.22,"Coffee, Tea, Maté and Spices",,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 does not apply to non-originating fruit of the genus Capsicum or of the genus Pimenta, neither crushed nor ground, of subheading 09.04.21 used in the production of crushed or ground goods fruits of the genus Capsicum or of the genus Pimenta of subheading 09.04.22."
item,09.05,"Coffee, Tea, Maté and Spices",,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 does not apply to non-originating vanilla beans, neither crushed nor ground, of subheading 09.05.10 used in the production of vanilla beans, crushed or ground, of subheading 09.05.20."
item,09.10.91,"Coffee, Tea, Maté and Spices",,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 applies to non-originating curry of subheading 09.10.91 used in the production of mixtures of subheading 09.10.91."
item,09.10.99,"Coffee, Tea, Maté and Spices",,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 applies to non-originating thyme or bay leaves of subheading 09.10.99 used in the production of mixtures of subheading 09.10.99."
chapter,Chapter 10,Cereals,,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 does not apply to non-originating durum wheat, other wheat and meslin, rye, barley, oats, grain sorghum or millet, seed, of subheading 10.01.11, 10.01.91, 10.02.10, 10.03.10, 10.04.10, 10.07.10 or 10.08.21, respectively, mixed in with originating durum wheat, other wheat and meslin, rye, barley, oats, grain sorghum or millet, other than seed, of subheading 10.01.19, 10.01.99,10.02.90, 10.03.90, 10.04.90, 10.07.90 or 10.08.29, respectively, or to non-originating durum wheat, other wheat and meslin, rye, barley, oats, grain sorghum, or millet, other than seed, of subheading 10.01.19, 10.01.99, 10.02.90, 10.03.90, 10.04.90, 10.07.90 or 10.08.29, respectively, mixed in with originating durum wheat, other wheat and meslin, rye, barley, oats, grain sorghum, or millet, seed, of subheading 10.01.11, 10.01.91, 10.02.10, 10.03.10, 10.04.10, 10.07.10 or 10.08.21, respectively."
chapter,Chapter 11,Products of the Milling Industry; Malt; Starches; Inulin; Wheat Gluten,,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 applies to non-originating rice or rye flour of subheading 11.02.90 used in the production of mixtures of flours of subheading 11.02.90."
item,12.01-12.06,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 does not apply to non-originating soybeans or peanuts, seed, of subheading 12.01.10 or 12.02.30, respectively, mixed in with originating soybeans or peanuts, other than seed, of subheading 12.01.90, 12.02.41 or 12.02.42, respectively, or to non-originating soybeans or peanuts, other than seed, of subheading 12.01.90, 12.02.41 or 12.02.42, respectively, mixed in with originating soybeans or peanuts, seed, of subheading 12.01.10 or 12.02.30, respectively."
item,12.07.10-12.07.70,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 does not apply to non-originating cotton seed, seed, of subheading 12.07.21 mixed in with originating cotton seed, other than seed, of subheading 12.07.29 or to non-originating cotton seed, other than seed, of subheading 12.07.29 mixed in with originating cotton seed, seed, of subheading 12.07.21."
