Chapter/heading/ sub-heading,Description,Product Specific Rule of Origin,needs_manual_check
Chapter 01,Live Animals,,0
01.01-01.06,Live Animals,A change to heading 01.01 through 01.06 from any other chapter,0
Chapter 02,Meat and Edible Meat Offal,,0
02.01-02.10,Meat and Edible Meat Offal,A change to heading 02.01 through 02.10 from any other chapter,0
Chapter 03,"Fish and Crustaceans, Molluscs and Other Aquatic Invertebrates",,0
03.01-03.05,"Fish and Crustaceans, Molluscs and Other Aquatic Invertebrates",A change to heading 03.01 through 03.05 from any other chapter,0
03.06.11-03.08.90,"Fish and Crustaceans, Molluscs and Other Aquatic Invertebrates","A change to subheading 03.06.11 through 03.08.90 from any other chapter; or No required change in tariff classification to a smoked good of any of subheading 03.06.11 through 03.08.90, provided that the good is smoked in the territory of one or both of the Parties.",0
Chapter 04,"Dairy Produce; Birds’ Eggs; Natural Honey; Edible Products of Animal Origin, Not Elsewhere Specified or Included",,0
04.01-04.10,"Dairy Produce; Birds’ Eggs; Natural Honey; Edible Products of Animal Origin, Not Elsewhere Specified or Included","A change to heading 04.01 through 04.10 from any other chapter, except from tariff item 19.01.90.aa",0
Chapter 05,"Products of Animal Origin, Not Elsewhere Specified or Included",,0
05.01-05.11,"Products of Animal Origin, Not Elsewhere Specified or Included",A change to heading 05.01 through 05.11 from any other chapter,0
Chapter 06,"Live Trees and Other Plants; Bulbs, Roots and the Like; Cut Flowers and Ornamental Foliage",,0
06.01-06.04,"Live Trees and Other Plants; Bulbs, Roots and the Like; Cut Flowers and Ornamental Foliage",A change to heading 06.01 through 06.04 from any other chapter,0
Chapter 07,Edible Vegetables and Certain Roots and Tubers,,0
07.01-07.14,Edible Vegetables and Certain Roots and Tubers,A change to heading 07.01 through 07.14 from any other chapter,0
Chapter 08,Edible Fruit and Nuts; Peel of Citrus Fruit or Melons,,0
08.01-08.14,Edible Fruit and Nuts; Peel of Citrus Fruit or Melons,A change to heading 08.01 through 08.14 from any other chapter,0
Chapter 09,"Coffee, Tea, Maté and Spices",,0
09.01,"Coffee, Tea, Maté and Spices",A change to heading 09.01 from any other chapter,0
09.02.10-09.02.40,"Coffee, Tea, Maté and Spices","A change to subheading 09.02.10 through 09.02.40 from any other subheading, including another subheading within that group",0
09.03,"Coffee, Tea, Maté and Spices",A change to heading 09.03 from any other chapter,0
09.04.11,"Coffee, Tea, Maté and Spices",A change to subheading 09.04.11 from any other chapter,0
09.04.12,"Coffee, Tea, Maté and Spices",A change to subheading 09.04.12 from any other subheading,0
09.04.21-09.04.22,"Coffee, Tea, Maté and Spices",A change to subheading 09.04.21 through 09.04.22 from any other chapter,1
09.05,"Coffee, Tea, Maté and Spices",A change to heading 09.05 from any other chapter,1
09.06.11-09.06.19,"Coffee, Tea, Maté and Spices",A change to subheading 09.06.11 through 09.06.19 from any other chapter,0
09.06.20,"Coffee, Tea, Maté and Spices",A change to subheading 09.06.20 from any other subheading,0
09.07,"Coffee, Tea, Maté and Spices",A change to a good of heading 09.07 from within that heading or any other chapter,0
09.08.11-09.09.62,"Coffee, Tea, Maté and Spices","A change to a good of any of subheading 09.08.11 through 09.09.62 from within that subheading, any other subheading within that group or any other chapter",0
09.10.11-09.10.12,"Coffee, Tea, Maté and Spices","A change to a good of any of subheading 09.10.11 through 09.10.12 from within that subheading, any other subheading within that group or any other chapter",0
09.10.20,"Coffee, Tea, Maté and Spices",A change to subheading 09.10.20 from any other chapter,0
09.10.30,"Coffee, Tea, Maté and Spices",A change to a good of subheading 09.10.30 from within that subheading or any other chapter,0
09.10.91,"Coffee, Tea, Maté and Spices",A change to curry of subheading 09.10.91 from within that subheading or any other subheading; or A change to any other good of subheading 09.10.91 from any other heading.,1
09.10.99,"Coffee, Tea, Maté and Spices","A change to bay leaves, crushed or ground, of subheading 09.10.99 from bay leaves, neither crushed nor ground, within that subheading or any other chapter; A change to dill seeds, crushed or ground, of subheading 09.10.99 from dill seeds, neither crushed nor ground, within that subheading or any other chapter; or A change to any other good of subheading 09.10.99 from any other chapter.",1
Chapter 10,Cereals,,0
10.01-10.08,Cereals,A change to heading 10.01 through 10.08 from any other chapter,0
Chapter 11,Products of the Milling Industry; Malt; Starches; Inulin; Wheat Gluten,,0
11.01-11.09,Products of the Milling Industry; Malt; Starches; Inulin; Wheat Gluten,A change to heading 11.01 through 11.09 from any other chapter,0
Chapter 12,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",,0
12.01-12.06,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to heading 12.01 through 12.06 from any other chapter,1
12.07.10-12.07.70,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to subheading 12.07.10 through 12.07.70 from any other chapter,1
12.07.91,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to a good of subheading 12.07.91 from within that subheading or any other chapter,0
