Chapter/heading/ sub-heading,Description,main_rule,alt_rule,alt_rule_2,flag
Chapter 01,Live Animals,,,,0
01.01-01.06,Live Animals,A change to heading 01.01 through 01.06 from any other chapter,,,0
Chapter 02,Meat and Edible Meat Offal,,,,0
02.01-02.10,Meat and Edible Meat Offal,A change to heading 02.01 through 02.10 from any other chapter,,,0
Chapter 03,"Fish and Crustaceans, Molluscs and Other Aquatic Invertebrates",,,,0
03.01-03.05,"Fish and Crustaceans, Molluscs and Other Aquatic Invertebrates",A change to heading 03.01 through 03.05 from any other chapter,,,0
03.06.11,"Fish and Crustaceans, Molluscs and Other Aquatic Invertebrates",– 03.08.90 A change to a smoked good of any of subheading 03.06.11 through 03.08.90 from a non-smoked good within that subheading or any other subheading,A change to any other good of any of subheading 03.06.11 through 03.08.90 from any other chapter.,,0
Chapter 04,"Dairy Produce; Birds’ Eggs; Natural Honey; Edible Products of Animal Origin, Not Elsewhere Specified or Included",,,,0
04.01-04.04,"Dairy Produce; Birds’ Eggs; Natural Honey; Edible Products of Animal Origin, Not Elsewhere Specified or Included","A change to heading 04.01 through 04.04 from any other chapter, except from tariff item 19.01.90.aa",,,0
04.05,"Dairy Produce; Birds’ Eggs; Natural Honey; Edible Products of Animal Origin, Not Elsewhere Specified or Included","A change to heading 04.05 from any other chapter, except from tariff item 19.01.90.aa or 21.06.90.dd",,,0
04.06-04.10,"Dairy Produce; Birds’ Eggs; Natural Honey; Edible Products of Animal Origin, Not Elsewhere Specified or Included","A change to heading 04.06 through 04.10 from any other chapter, except from tariff item 19.01.90.aa",,,0
Chapter 05,"Products of Animal Origin, Not Elsewhere Specified or Included",,,,0
05.01-05.11,"Products of Animal Origin, Not Elsewhere Specified or Included",A change to heading 05.01 through 05.11 from any other chapter,,,0
Chapter 06,"Live Trees and Other Plants; Bulbs, Roots and the Like; Cut Flowers and Ornamental Foliage",,,,0
06.01-06.04,"Live Trees and Other Plants; Bulbs, Roots and the Like; Cut Flowers and Ornamental Foliage",A change to heading 06.01 through 06.04 from any other chapter,,,0
Chapter 07,Edible Vegetables and Certain Roots and Tubers,,,,0
07.01-07.11,Edible Vegetables and Certain Roots and Tubers,A change to heading 07.01 through 07.11 from any other chapter,,,0
07.12.20-07.12.39,Edible Vegetables and Certain Roots and Tubers,A change to subheading 07.12.20 through 07.12.39 from any other chapter,,,0
07.12.90,Edible Vegetables and Certain Roots and Tubers,"A change to savory, crushed or ground, of subheading 07.12.90 from savory, neither crushed nor ground, of subheading 07.12.90 or any other chapter",A change to any other good of subheading 07.12.90 from any other chapter.,,0
07.13-07.14,Edible Vegetables and Certain Roots and Tubers,A change to heading 07.13 through 07.14 from any other chapter,,,0
Chapter 08,Edible Fruit and Nuts; Peel of Citrus Fruit or Melons,,,,0
08.01-08.14,Edible Fruit and Nuts; Peel of Citrus Fruit or Melons,A change to heading 08.01 through 08.14 from any other chapter,,,0
Chapter 09,"Coffee, Tea, Maté and Spices",,,,0
09.01,"Coffee, Tea, Maté and Spices",A change to heading 09.01 from any other chapter,,,0
09.02.10-09.02.40,"Coffee, Tea, Maté and Spices","A change to subheading 09.02.10 through 09.02.40 from any other subheading, including another subheading within that group",,,0
09.03,"Coffee, Tea, Maté and Spices",A change to heading 09.03 from any other chapter,,,0
09.04.11,"Coffee, Tea, Maté and Spices",A change to subheading 09.04.11 from any other chapter,,,0
09.04.12,"Coffee, Tea, Maté and Spices",A change to subheading 09.04.12 from any other subheading,,,0
09.04.21,"Coffee, Tea, Maté and Spices",A change to subheading 09.04.21 from any other chapter,,,0
09.04.22,"Coffee, Tea, Maté and Spices","A change to allspice, crushed or ground, of subheading 09.04.22 from allspice, neither crushed nor ground of subheading 09.04.21 or from any other chapter",A change to any other good of subheading 09.04.22 from any other chapter.,,0
09.05,"Coffee, Tea, Maté and Spices",A change to heading 09.05 from any other chapter,,,0
09.06.11-09.06.19,"Coffee, Tea, Maté and Spices",A change to subheading 09.06.11 through 09.06.19 from any other chapter,,,0
09.06.20,"Coffee, Tea, Maté and Spices",A change to subheading 09.06.20 from any other subheading,,,0
09.07.10-09.07.20,"Coffee, Tea, Maté and Spices","A change to a good of any of subheading 09.07.10 through 09.07.20 from any other good within that subheading, any other subheading within that group or any other chapter",,,0
09.08.11-09.09.62,"Coffee, Tea, Maté and Spices","A change to a good of any of subheading 09.08.11 through 09.09.62 from any other good within that subheading, any other subheading within that group or any other chapter",,,0
09.10.11-09.10.12,"Coffee, Tea, Maté and Spices","A change to a good of any of subheading 09.10.11 through 09.10.12 from any other good within that subheading, any other subheading within that group or any other chapter",,,0
09.10.20,"Coffee, Tea, Maté and Spices",A change to subheading 09.10.20 from any other chapter,,,0
09.10.30,"Coffee, Tea, Maté and Spices",A change to a good of subheading 09.10.30 from within that subheading or any other chapter,,,0
09.10.91,"Coffee, Tea, Maté and Spices",A change to subheading 09.10.91 from any other subheading,,,0
